iter	Passed	Remaining
891	24455	2960
892	24480	2933
893	24509	2906
894	24532	2878
895	24564	2851
896	24592	2823
897	24615	2796
898	24642	2768
899	24672	2741
900	24696	2713
901	24723	2686
902	24751	2658
903	24781	2631
904	24807	2604
905	24832	2576
906	24861	2549
907	24885	2521
908	24914	2494
909	24942	2466
910	24969	2439
911	24993	2411
912	25019	2384
913	25048	2356
914	25072	2329
915	25097	2301
916	25122	2273
917	25150	2246
918	25186	2219
919	25222	2193
920	25252	2166
921	25279	2138
922	25304	2110
923	25329	2083
924	25353	2055
925	25380	2028
926	25408	2000
927	25441	1973
928	25470	1946
929	25496	1919
930	25521	1891
931	25552	1864
932	25581	1837
933	25610	1809
934	25637	1782
935	25664	1754
936	25695	1727
937	25721	1700
938	25756	1673
939	25782	1645
940	25809	1618
941	25839	1590
942	25866	1563
943	25895	1536
944	25923	1508
945	25950	1481
946	25974	1453
947	26000	1426
948	26025	1398
949	26055	1371
950	26085	1344
951	26116	1316
952	26146	1289
953	26175	1262
954	26205	1234
955	26233	1207
956	26263	1180
957	26294	1152
958	26321	1125
959	26350	1097
960	26376	1070
961	26402	1042
962	26428	1015
963	26456	987
964	26479	960
965	26505	932
966	26530	905
967	26556	877
968	26580	850
969	26609	822
970	26635	795
971	26660	768
972	26686	740
973	26711	713
974	26736	685
975	26765	658
976	26795	630
977	26823	603
978	26848	575
979	26875	548
980	26903	521
981	26929	493
982	26958	466
983	26984	438
984	27012	411
985	27039	383
986	27069	356
987	27092	329
988	27122	301
989	27155	274
990	27187	246
991	27219	219
992	27247	192
993	27276	164
994	27305	137
995	27331	109
996	27355	82
997	27385	54
998	27417	27
999	27444	0
